Test case          | Total agents | Agents done  | DDLs met     | Plan Time  | SIC          | Makespan     | Penalty      | Final SIC    | P Score     
multi_test_case/level0_test_0 | 5            | 5            | 5            | 0.0        | 60           | 18           | 0            | 60           | 12          
multi_test_case/level0_test_1 | 5            | 5            | 5            | 0.01       | 69           | 27           | 0            | 69           | 13          
multi_test_case/level0_test_2 | 5            | 5            | 5            | 0.01       | 76           | 28           | 0            | 76           | 15          
multi_test_case/level0_test_3 | 5            | 5            | 5            | 0.03       | 110          | 36           | 0            | 110          | 22          
multi_test_case/level0_test_4 | 5            | 5            | 5            | 0.01       | 66           | 23           | 0            | 66           | 13          
multi_test_case/level0_test_5 | 5            | 5            | 5            | 0.01       | 64           | 18           | 0            | 64           | 12          
multi_test_case/level0_test_6 | 5            | 5            | 5            | 0.0        | 58           | 22           | 0            | 58           | 11          
multi_test_case/level0_test_7 | 5            | 5            | 5            | 0.0        | 32           | 14           | 0            | 32           | 6           
multi_test_case/level1_test_0 | 12           | 12           | 12           | 0.2        | 527          | 88           | 0            | 527          | 43          
multi_test_case/level1_test_1 | 12           | 12           | 12           | 0.23       | 591          | 79           | 0            | 591          | 49          
multi_test_case/level1_test_2 | 12           | 12           | 12           | 0.1        | 397          | 59           | 0            | 397          | 33          
multi_test_case/level1_test_3 | 12           | 12           | 12           | 0.06       | 455          | 68           | 0            | 455          | 37          
multi_test_case/level1_test_4 | 12           | 12           | 12           | 0.16       | 510          | 94           | 0            | 510          | 42          
multi_test_case/level1_test_5 | 12           | 10           | 10           | 0.08       | 1170         | 65           | 0            | 1170         | 97          
multi_test_case/level1_test_6 | 12           | 12           | 12           | 0.14       | 571          | 98           | 0            | 571          | 47          
multi_test_case/level1_test_7 | 12           | 12           | 12           | 0.17       | 555          | 82           | 0            | 555          | 46          
multi_test_case/level2_test_0 | 25           | 25           | 25           | 1.38       | 1759         | 139          | 0            | 1759         | 70          
multi_test_case/level2_test_1 | 25           | 24           | 24           | 3.34       | 2730         | 181          | 0            | 2730         | 109         
multi_test_case/level2_test_2 | 25           | 24           | 24           | 1.45       | 2613         | 168          | 0            | 2613         | 104         
multi_test_case/level2_test_3 | 25           | 25           | 25           | 1.4        | 1738         | 123          | 0            | 1738         | 69          
multi_test_case/level2_test_4 | 25           | 25           | 25           | 3.82       | 2598         | 177          | 0            | 2598         | 103         
multi_test_case/level2_test_5 | 25           | 25           | 25           | 1.88       | 1860         | 127          | 0            | 1860         | 74          
multi_test_case/level2_test_6 | 25           | 25           | 25           | 1.61       | 1828         | 155          | 0            | 1828         | 73          
multi_test_case/level2_test_7 | 25           | 23           | 23           | 1.52       | 3581         | 147          | 0            | 3581         | 143         
multi_test_case/level3_test_0 | 37           | 37           | 37           | 10.56      | 4802         | 208          | 0            | 4802         | 129         
multi_test_case/level3_test_1 | 37           | 35           | 35           | 6.29       | 6221         | 199          | 0            | 6221         | 168         
multi_test_case/level3_test_2 | 37           | 37           | 37           | 5.91       | 3725         | 165          | 0            | 3725         | 100         
multi_test_case/level3_test_3 | 37           | 37           | 37           | 7.57       | 4106         | 269          | 0            | 4106         | 110         
multi_test_case/level3_test_4 | 37           | 37           | 37           | 13.54      | 4030         | 210          | 0            | 4030         | 108         
multi_test_case/level3_test_5 | 37           | 37           | 37           | 16.14      | 4514         | 206          | 0            | 4514         | 122         
multi_test_case/level3_test_6 | 37           | 37           | 37           | 25.2       | 4571         | 210          | 0            | 4571         | 123         
multi_test_case/level3_test_7 | 37           | 37           | 37           | 38.06      | 5245         | 372          | 0            | 5245         | 141         
multi_test_case/level4_test_0 | 50           | 47           | 47           | 39.72      | 11896        | 306          | 0            | 11896        | 237         
multi_test_case/level4_test_1 | 50           | 50           | 50           | 70.97      | 7339         | 281          | 0            | 7339         | 146         
multi_test_case/level4_test_2 | 50           | 48           | 48           | 46.48      | 10302        | 219          | 0            | 10302        | 206         
multi_test_case/level4_test_3 | 50           | 49           | 49           | 63.73      | 9972         | 408          | 0            | 9972         | 199         
multi_test_case/level4_test_4 | 50           | 49           | 49           | 64.28      | 8583         | 261          | 0            | 8583         | 171         
multi_test_case/level4_test_5 | 50           | 49           | 49           | 54.61      | 8897         | 295          | 0            | 8897         | 177         
multi_test_case/level4_test_6 | 50           | 49           | 49           | 47.1       | 8208         | 294          | 0            | 8208         | 164         
multi_test_case/level4_test_7 | 50           | 50           | 50           | 20.79      | 6122         | 206          | 0            | 6122         | 122         
multi_test_case/level5_test_0 | 75           | 75           | 75           | 124.9      | 14095        | 362          | 0            | 14095        | 187         
multi_test_case/level5_test_1 | 75           | 75           | 75           | 121.39     | 14288        | 363          | 0            | 14288        | 190         
multi_test_case/level5_test_2 | 75           | 75           | 75           | 221.71     | 15764        | 498          | 0            | 15764        | 210         
multi_test_case/level5_test_3 | 75           | 74           | 74           | 119.56     | 16043        | 485          | 0            | 16043        | 213         
multi_test_case/level5_test_4 | 75           | 75           | 75           | 218.89     | 15545        | 390          | 0            | 15545        | 207         
multi_test_case/level5_test_5 | 75           | 75           | 75           | 80.87      | 13694        | 363          | 0            | 13694        | 182         
multi_test_case/level5_test_6 | 75           | 75           | 75           | 87.04      | 14021        | 350          | 0            | 14021        | 186         
multi_test_case/level5_test_7 | 75           | 73           | 73           | 79.58      | 18055        | 350          | 0            | 18055        | 240         
multi_test_case/level6_test_0 | 150          | 150          | 150          | 286.66     | 25540        | 338          | 0            | 25540        | 170         
multi_test_case/level6_test_1 | 150          | 147          | 147          | 252.01     | 31072        | 287          | 0            | 31072        | 207         
multi_test_case/level6_test_2 | 150          | 150          | 150          | 520.82     | 26679        | 534          | 0            | 26679        | 177         
multi_test_case/level6_test_3 | 150          | 147          | 147          | 510.14     | 32011        | 402          | 0            | 32011        | 213         
multi_test_case/level6_test_4 | 150          | 149          | 149          | 740.46     | 30350        | 357          | 0            | 30350        | 202         
multi_test_case/level6_test_5 | 150          | 148          | 148          | 392.51     | 27532        | 285          | 0            | 27532        | 183         
multi_test_case/level6_test_6 | 150          | 149          | 149          | 330.15     | 26969        | 341          | 0            | 26969        | 179         
multi_test_case/level6_test_7 | 150          | 149          | 149          | 315.08     | 25805        | 328          | 0            | 25805        | 172         
Summary            | 2832 (sum)   | 2801 (sum)   | 2801(sum)    | 4950.33(sum) | 480014 (sum) | 12178 (sum)  | 0 (sum)      | 480014 (sum) | None (final)
