Test case          | Total agents | Agents done  | DDLs met     | Plan Time  | SIC          | Makespan     | Penalty      | Final SIC    | P Score     
multi_test_case/level0_test_0 | 5            | 5            | 5            | 0.0        | 67           | 19           | 0            | 67           | 13          
multi_test_case/level0_test_1 | 5            | 5            | 5            | 0.01       | 69           | 27           | 0            | 69           | 13          
multi_test_case/level0_test_2 | 5            | 5            | 5            | 0.01       | 76           | 28           | 0            | 76           | 15          
multi_test_case/level0_test_3 | 5            | 5            | 5            | 0.01       | 112          | 36           | 0            | 112          | 22          
multi_test_case/level0_test_4 | 5            | 5            | 5            | 0.01       | 66           | 23           | 0            | 66           | 13          
multi_test_case/level0_test_5 | 5            | 5            | 5            | 0.01       | 64           | 18           | 0            | 64           | 12          
multi_test_case/level0_test_6 | 5            | 5            | 5            | 0.01       | 60           | 22           | 0            | 60           | 12          
multi_test_case/level0_test_7 | 5            | 5            | 5            | 0.0        | 32           | 14           | 0            | 32           | 6           
multi_test_case/level1_test_0 | 12           | 12           | 12           | 0.08       | 527          | 88           | 0            | 527          | 43          
multi_test_case/level1_test_1 | 12           | 12           | 12           | 0.1        | 591          | 79           | 0            | 591          | 49          
multi_test_case/level1_test_2 | 12           | 12           | 12           | 0.07       | 397          | 59           | 0            | 397          | 33          
multi_test_case/level1_test_3 | 12           | 12           | 12           | 0.08       | 458          | 68           | 0            | 458          | 38          
multi_test_case/level1_test_4 | 12           | 12           | 12           | 0.1        | 552          | 94           | 0            | 552          | 46          
multi_test_case/level1_test_5 | 12           | 7            | 7            | 0.08       | 2204         | 65           | 0            | 2204         | 183         
multi_test_case/level1_test_6 | 12           | 12           | 12           | 0.08       | 576          | 98           | 0            | 576          | 48          
multi_test_case/level1_test_7 | 12           | 12           | 12           | 0.1        | 787          | 121          | 0            | 787          | 65          
multi_test_case/level2_test_0 | 25           | 25           | 25           | 2.06       | 1759         | 139          | 0            | 1759         | 70          
multi_test_case/level2_test_1 | 25           | 22           | 22           | 2.49       | 4074         | 173          | 0            | 4074         | 162         
multi_test_case/level2_test_2 | 25           | 20           | 20           | 2.13       | 5443         | 168          | 0            | 5443         | 217         
multi_test_case/level2_test_3 | 25           | 25           | 25           | 2.02       | 1747         | 123          | 0            | 1747         | 69          
multi_test_case/level2_test_4 | 25           | 17           | 17           | 2.89       | 7979         | 178          | 0            | 7979         | 319         
multi_test_case/level2_test_5 | 25           | 25           | 25           | 2.15       | 1915         | 154          | 0            | 1915         | 76          
multi_test_case/level2_test_6 | 25           | 25           | 25           | 2.09       | 1835         | 155          | 0            | 1835         | 73          
multi_test_case/level2_test_7 | 25           | 18           | 18           | 2.66       | 7120         | 147          | 0            | 7120         | 284         
multi_test_case/level3_test_0 | 37           | 37           | 37           | 17.57      | 4847         | 208          | 0            | 4847         | 131         
multi_test_case/level3_test_1 | 37           | 33           | 33           | 15.45      | 8446         | 199          | 0            | 8446         | 228         
multi_test_case/level3_test_2 | 37           | 37           | 37           | 14.47      | 3785         | 191          | 0            | 3785         | 102         
multi_test_case/level3_test_3 | 37           | 35           | 35           | 15.26      | 6239         | 250          | 0            | 6239         | 168         
multi_test_case/level3_test_4 | 37           | 37           | 37           | 14.98      | 4035         | 210          | 0            | 4035         | 109         
multi_test_case/level3_test_5 | 37           | 37           | 37           | 16.88      | 4607         | 208          | 0            | 4607         | 124         
multi_test_case/level3_test_6 | 37           | 37           | 37           | 17.44      | 4679         | 224          | 0            | 4679         | 126         
multi_test_case/level3_test_7 | 37           | 35           | 35           | 19.28      | 7303         | 362          | 0            | 7303         | 197         
multi_test_case/level4_test_0 | 50           | 45           | 45           | 69.57      | 14747        | 306          | 0            | 14747        | 294         
multi_test_case/level4_test_1 | 50           | 50           | 50           | 69.38      | 7354         | 284          | 0            | 7354         | 147         
