Test case          | Total agents | Agents done  | DDLs met     | Plan Time  | SIC          | Makespan     | Penalty      | Final SIC    | P Score     
multi_test_case2/level0_test_0 | 5            | 5            | 5            | 0.0        | 64           | 21           | 0            | 64           | 12          
multi_test_case2/level0_test_1 | 5            | 5            | 5            | 0.02       | 69           | 27           | 0            | 69           | 13          
multi_test_case2/level0_test_2 | 5            | 5            | 4            | 0.01       | 76           | 28           | 5            | 81           | 16          
multi_test_case2/level0_test_3 | 5            | 5            | 5            | 0.02       | 85           | 30           | 0            | 85           | 17          
multi_test_case2/level0_test_4 | 5            | 5            | 3            | 0.01       | 85           | 27           | 13           | 98           | 19          
multi_test_case2/level0_test_5 | 5            | 5            | 5            | 0.0        | 64           | 18           | 0            | 64           | 12          
multi_test_case2/level0_test_6 | 5            | 5            | 5            | 0.0        | 58           | 22           | 0            | 58           | 11          
multi_test_case2/level0_test_7 | 5            | 5            | 5            | 0.0        | 32           | 14           | 0            | 32           | 6           
multi_test_case2/level1_test_0 | 12           | 12           | 9            | 0.35       | 599          | 101          | 65           | 664          | 55          
multi_test_case2/level1_test_1 | 12           | 12           | 8            | 0.27       | 636          | 115          | 61           | 697          | 58          
multi_test_case2/level1_test_2 | 12           | 12           | 11           | 0.09       | 386          | 51           | 0            | 386          | 32          
multi_test_case2/level1_test_3 | 12           | 12           | 9            | 0.18       | 454          | 90           | 12           | 466          | 38          
multi_test_case2/level1_test_4 | 12           | 12           | 11           | 1.7900000000000003 | 551          | 84           | 12           | 563          | 46          
multi_test_case2/level1_test_5 | 12           | 12           | 8            | 1.910000000000001 | 606          | 106          | 34           | 640          | 53          
multi_test_case2/level1_test_6 | 12           | 12           | 3            | 3.5400000000000005 | 836          | 108          | 200          | 1036         | 86          
multi_test_case2/level1_test_7 | 12           | 12           | 9            | 4.879999999999998 | 694          | 134          | 14           | 708          | 59          
multi_test_case2/level2_test_0 | 25           | 25           | 20           | 4.08       | 1788         | 126          | 93           | 1881         | 75          
multi_test_case2/level2_test_1 | 25           | 25           | 23           | 4.39       | 2059         | 192          | 23           | 2082         | 83          
