Test case          | Total agents | Agents done  | DDLs met     | Plan Time  | SIC          | Makespan     | Penalty      | Final SIC    | P Score     
single_test_case/level0_test_0 | 1            | 1            | 1            | 0.0        | 10           | 10           | 0            | 10           | None        
single_test_case/level0_test_1 | 1            | 1            | 1            | 0.0        | 10           | 10           | 0            | 10           | None        
single_test_case/level0_test_2 | 1            | 1            | 1            | 0.0        | 3            | 3            | 0            | 3            | None        
single_test_case/level0_test_3 | 1            | 1            | 1            | 0.0        | 5            | 5            | 0            | 5            | None        
single_test_case/level0_test_4 | 1            | 1            | 1            | 0.0        | 11           | 11           | 0            | 11           | None        
single_test_case/level0_test_5 | 1            | 1            | 1            | 0.0        | 9            | 9            | 0            | 9            | None        
single_test_case/level0_test_6 | 1            | 1            | 1            | 0.0        | 13           | 13           | 0            | 13           | None        
single_test_case/level0_test_7 | 1            | 1            | 1            | 0.0        | 5            | 5            | 0            | 5            | None        
single_test_case/level1_test_0 | 1            | 1            | 1            | 0.0        | 26           | 26           | 0            | 26           | None        
single_test_case/level1_test_1 | 1            | 1            | 1            | 0.0        | 24           | 24           | 0            | 24           | None        
single_test_case/level1_test_2 | 1            | 1            | 1            | 0.0        | 16           | 16           | 0            | 16           | None        
single_test_case/level1_test_3 | 1            | 1            | 1            | 0.0        | 13           | 13           | 0            | 13           | None        
single_test_case/level1_test_4 | 1            | 1            | 1            | 0.0        | 28           | 28           | 0            | 28           | None        
single_test_case/level1_test_5 | 1            | 1            | 1            | 0.0        | 13           | 13           | 0            | 13           | None        
single_test_case/level1_test_6 | 1            | 1            | 1            | 0.0        | 31           | 31           | 0            | 31           | None        
single_test_case/level1_test_7 | 1            | 1            | 1            | 0.0        | 10           | 10           | 0            | 10           | None        
single_test_case/level2_test_0 | 1            | 1            | 1            | 0.01       | 53           | 53           | 0            | 53           | None        
single_test_case/level2_test_1 | 1            | 1            | 1            | 0.0        | 48           | 48           | 0            | 48           | None        
single_test_case/level2_test_2 | 1            | 1            | 1            | 0.0        | 31           | 31           | 0            | 31           | None        
single_test_case/level2_test_3 | 1            | 1            | 1            | 0.0        | 26           | 26           | 0            | 26           | None        
single_test_case/level2_test_4 | 1            | 1            | 1            | 0.0        | 56           | 56           | 0            | 56           | None        
single_test_case/level2_test_5 | 1            | 1            | 1            | 0.0        | 33           | 33           | 0            | 33           | None        
single_test_case/level2_test_6 | 1            | 1            | 1            | 0.0        | 62           | 62           | 0            | 62           | None        
single_test_case/level2_test_7 | 1            | 1            | 1            | 0.0        | 20           | 20           | 0            | 20           | None        
single_test_case/level3_test_0 | 1            | 1            | 1            | 0.01       | 80           | 80           | 0            | 80           | None        
single_test_case/level3_test_1 | 1            | 1            | 1            | 0.01       | 73           | 73           | 0            | 73           | None        
single_test_case/level3_test_2 | 1            | 1            | 1            | 0.0        | 47           | 47           | 0            | 47           | None        
single_test_case/level3_test_3 | 1            | 1            | 1            | 0.0        | 40           | 40           | 0            | 40           | None        
single_test_case/level3_test_4 | 1            | 1            | 1            | 0.01       | 85           | 85           | 0            | 85           | None        
single_test_case/level3_test_5 | 1            | 1            | 1            | 0.0        | 58           | 58           | 0            | 58           | None        
single_test_case/level3_test_6 | 1            | 1            | 1            | 0.01       | 93           | 93           | 0            | 93           | None        
single_test_case/level3_test_7 | 1            | 1            | 1            | 0.0        | 71           | 71           | 0            | 71           | None        
single_test_case/level4_test_0 | 1            | 1            | 1            | 0.03       | 105          | 105          | 0            | 105          | None        
single_test_case/level4_test_1 | 1            | 1            | 1            | 0.03       | 97           | 97           | 0            | 97           | None        
single_test_case/level4_test_2 | 1            | 1            | 1            | 0.0        | 61           | 61           | 0            | 61           | None        
single_test_case/level4_test_3 | 1            | 1            | 1            | 0.0        | 53           | 53           | 0            | 53           | None        
single_test_case/level4_test_4 | 1            | 1            | 1            | 0.02       | 113          | 113          | 0            | 113          | None        
single_test_case/level4_test_5 | 1            | 1            | 1            | 0.01       | 127          | 127          | 0            | 127          | None        
single_test_case/level4_test_6 | 1            | 1            | 1            | 0.01       | 125          | 125          | 0            | 125          | None        
single_test_case/level4_test_7 | 1            | 1            | 1            | 0.0        | 39           | 39           | 0            | 39           | None        
Summary            | 40 (sum)     | 40 (sum)     | 40(sum)      | 0.15(sum)  | 1823 (sum)   | 1823 (sum)   | 0 (sum)      | 1823 (sum)   | 45 (final)  
